"dir","minx","maxy","maxx","miny","width","x","y"
"10","367187.0","6466812.0","369187.0","6464812.0",4096,33,111
"10","367187.0","6468812.0","369187.0","6466812.0",4096,33,112
"10","369187.0","6466812.0","371187.0","6464812.0",4096,34,111
"10","369187.0","6468812.0","371187.0","6466812.0",4096,34,112
"10","371187.0","6462812.0","373187.0","6460812.0",4096,35,109
"10","371187.0","6464812.0","373187.0","6462812.0",4096,35,110
"10","371187.0","6466812.0","373187.0","6464812.0",4096,35,111
"10","371187.0","6468812.0","373187.0","6466812.0",4096,35,112
"10","371187.0","6472812.0","373187.0","6470812.0",4096,35,114
"10","371187.0","6474812.0","373187.0","6472812.0",4096,35,115
"10","371187.0","6476812.0","373187.0","6474812.0",4096,35,116
"10","373187.0","6460812.0","375187.0","6458812.0",4096,36,108
"10","373187.0","6462812.0","375187.0","6460812.0",4096,36,109
"10","373187.0","6464812.0","375187.0","6462812.0",4096,36,110
"10","373187.0","6466812.0","375187.0","6464812.0",4096,36,111
"10","373187.0","6468812.0","375187.0","6466812.0",4096,36,112
"10","373187.0","6470812.0","375187.0","6468812.0",4096,36,113
"10","373187.0","6472812.0","375187.0","6470812.0",4096,36,114
"10","373187.0","6474812.0","375187.0","6472812.0",4096,36,115
"10","373187.0","6476812.0","375187.0","6474812.0",4096,36,116
"10","373187.0","6484812.0","375187.0","6482812.0",4096,36,120
"10","373187.0","6486812.0","375187.0","6484812.0",4096,36,121
"10","375187.0","6458812.0","377187.0","6456812.0",4096,37,107
"10","375187.0","6460812.0","377187.0","6458812.0",4096,37,108
"10","375187.0","6462812.0","377187.0","6460812.0",4096,37,109
"10","375187.0","6464812.0","377187.0","6462812.0",4096,37,110
"10","375187.0","6466812.0","377187.0","6464812.0",4096,37,111
"10","375187.0","6468812.0","377187.0","6466812.0",4096,37,112
"10","375187.0","6470812.0","377187.0","6468812.0",4096,37,113
"10","375187.0","6472812.0","377187.0","6470812.0",4096,37,114
"10","375187.0","6474812.0","377187.0","6472812.0",4096,37,115
"10","375187.0","6482812.0","377187.0","6480812.0",4096,37,119
"10","375187.0","6484812.0","377187.0","6482812.0",4096,37,120
"10","375187.0","6486812.0","377187.0","6484812.0",4096,37,121
"10","377187.0","6458812.0","379187.0","6456812.0",4096,38,107
"10","377187.0","6460812.0","379187.0","6458812.0",4096,38,108
"10","377187.0","6462812.0","379187.0","6460812.0",4096,38,109
"10","377187.0","6464812.0","379187.0","6462812.0",4096,38,110
"10","377187.0","6466812.0","379187.0","6464812.0",4096,38,111
"10","377187.0","6468812.0","379187.0","6466812.0",4096,38,112
"10","377187.0","6470812.0","379187.0","6468812.0",4096,38,113
"10","377187.0","6472812.0","379187.0","6470812.0",4096,38,114
"10","377187.0","6474812.0","379187.0","6472812.0",4096,38,115
"10","377187.0","6480812.0","379187.0","6478812.0",4096,38,118
"10","377187.0","6482812.0","379187.0","6480812.0",4096,38,119
"10","377187.0","6484812.0","379187.0","6482812.0",4096,38,120
"10","377187.0","6486812.0","379187.0","6484812.0",4096,38,121
"10","377187.0","6488812.0","379187.0","6486812.0",4096,38,122
"10","377187.0","6490812.0","379187.0","6488812.0",4096,38,123
"10","379187.0","6424812.0","381187.0","6422812.0",4096,39,90
"10","379187.0","6426812.0","381187.0","6424812.0",4096,39,91
"10","379187.0","6428812.0","381187.0","6426812.0",4096,39,92
"10","379187.0","6456812.0","381187.0","6454812.0",4096,39,106
"10","379187.0","6458812.0","381187.0","6456812.0",4096,39,107
"10","379187.0","6460812.0","381187.0","6458812.0",4096,39,108
"10","379187.0","6462812.0","381187.0","6460812.0",4096,39,109
"10","379187.0","6464812.0","381187.0","6462812.0",4096,39,110
"10","379187.0","6466812.0","381187.0","6464812.0",4096,39,111
"10","379187.0","6468812.0","381187.0","6466812.0",4096,39,112
"10","379187.0","6470812.0","381187.0","6468812.0",4096,39,113
"10","379187.0","6472812.0","381187.0","6470812.0",4096,39,114
"10","379187.0","6474812.0","381187.0","6472812.0",4096,39,115
"10","379187.0","6476812.0","381187.0","6474812.0",4096,39,116
"10","379187.0","6478812.0","381187.0","6476812.0",4096,39,117
"10","379187.0","6480812.0","381187.0","6478812.0",4096,39,118
"10","379187.0","6482812.0","381187.0","6480812.0",4096,39,119
"10","379187.0","6484812.0","381187.0","6482812.0",4096,39,120
"10","379187.0","6486812.0","381187.0","6484812.0",4096,39,121
"10","379187.0","6488812.0","381187.0","6486812.0",4096,39,122
"10","381187.0","6420812.0","383187.0","6418812.0",4096,40,88
"10","381187.0","6422812.0","383187.0","6420812.0",4096,40,89
"10","381187.0","6424812.0","383187.0","6422812.0",4096,40,90
"10","381187.0","6426812.0","383187.0","6424812.0",4096,40,91
"10","381187.0","6428812.0","383187.0","6426812.0",4096,40,92
"10","381187.0","6430812.0","383187.0","6428812.0",4096,40,93
"10","381187.0","6456812.0","383187.0","6454812.0",4096,40,106
"10","381187.0","6458812.0","383187.0","6456812.0",4096,40,107
"10","381187.0","6460812.0","383187.0","6458812.0",4096,40,108
"10","381187.0","6462812.0","383187.0","6460812.0",4096,40,109
"10","381187.0","6464812.0","383187.0","6462812.0",4096,40,110
"10","381187.0","6466812.0","383187.0","6464812.0",4096,40,111
"10","381187.0","6468812.0","383187.0","6466812.0",4096,40,112
"10","381187.0","6470812.0","383187.0","6468812.0",4096,40,113
"10","381187.0","6472812.0","383187.0","6470812.0",4096,40,114
"10","381187.0","6474812.0","383187.0","6472812.0",4096,40,115
"10","381187.0","6476812.0","383187.0","6474812.0",4096,40,116
"10","381187.0","6478812.0","383187.0","6476812.0",4096,40,117
"10","381187.0","6480812.0","383187.0","6478812.0",4096,40,118
"10","381187.0","6482812.0","383187.0","6480812.0",4096,40,119
"10","381187.0","6484812.0","383187.0","6482812.0",4096,40,120
"10","381187.0","6486812.0","383187.0","6484812.0",4096,40,121
"10","381187.0","6488812.0","383187.0","6486812.0",4096,40,122
"10","383187.0","6418812.0","385187.0","6416812.0",4096,41,87
"10","383187.0","6420812.0","385187.0","6418812.0",4096,41,88
"10","383187.0","6422812.0","385187.0","6420812.0",4096,41,89
"10","383187.0","6424812.0","385187.0","6422812.0",4096,41,90
"10","383187.0","6426812.0","385187.0","6424812.0",4096,41,91
"10","383187.0","6428812.0","385187.0","6426812.0",4096,41,92
"10","383187.0","6430812.0","385187.0","6428812.0",4096,41,93
"10","383187.0","6432812.0","385187.0","6430812.0",4096,41,94
"10","383187.0","6434812.0","385187.0","6432812.0",4096,41,95
"10","383187.0","6452812.0","385187.0","6450812.0",4096,41,104
"10","383187.0","6454812.0","385187.0","6452812.0",4096,41,105
"10","383187.0","6456812.0","385187.0","6454812.0",4096,41,106
"10","383187.0","6458812.0","385187.0","6456812.0",4096,41,107
"10","383187.0","6460812.0","385187.0","6458812.0",4096,41,108
"10","383187.0","6462812.0","385187.0","6460812.0",4096,41,109
"10","383187.0","6464812.0","385187.0","6462812.0",4096,41,110
"10","383187.0","6466812.0","385187.0","6464812.0",4096,41,111
"10","383187.0","6468812.0","385187.0","6466812.0",4096,41,112
"10","383187.0","6470812.0","385187.0","6468812.0",4096,41,113
"10","383187.0","6472812.0","385187.0","6470812.0",4096,41,114
"10","383187.0","6474812.0","385187.0","6472812.0",4096,41,115
"10","383187.0","6476812.0","385187.0","6474812.0",4096,41,116
"10","383187.0","6478812.0","385187.0","6476812.0",4096,41,117
"10","383187.0","6480812.0","385187.0","6478812.0",4096,41,118
"10","383187.0","6482812.0","385187.0","6480812.0",4096,41,119
"10","383187.0","6484812.0","385187.0","6482812.0",4096,41,120
"10","383187.0","6486812.0","385187.0","6484812.0",4096,41,121
"10","383187.0","6488812.0","385187.0","6486812.0",4096,41,122
"10","385187.0","6422812.0","387187.0","6420812.0",4096,42,89
"10","385187.0","6424812.0","387187.0","6422812.0",4096,42,90
"10","385187.0","6426812.0","387187.0","6424812.0",4096,42,91
"10","385187.0","6428812.0","387187.0","6426812.0",4096,42,92
"10","385187.0","6430812.0","387187.0","6428812.0",4096,42,93
"10","385187.0","6432812.0","387187.0","6430812.0",4096,42,94
"10","385187.0","6434812.0","387187.0","6432812.0",4096,42,95
"10","385187.0","6436812.0","387187.0","6434812.0",4096,42,96
"10","385187.0","6438812.0","387187.0","6436812.0",4096,42,97
"10","385187.0","6440812.0","387187.0","6438812.0",4096,42,98
"10","385187.0","6450812.0","387187.0","6448812.0",4096,42,103
"10","385187.0","6452812.0","387187.0","6450812.0",4096,42,104
"10","385187.0","6454812.0","387187.0","6452812.0",4096,42,105
"10","385187.0","6456812.0","387187.0","6454812.0",4096,42,106
"10","385187.0","6458812.0","387187.0","6456812.0",4096,42,107
"10","385187.0","6460812.0","387187.0","6458812.0",4096,42,108
"10","385187.0","6462812.0","387187.0","6460812.0",4096,42,109
"10","385187.0","6464812.0","387187.0","6462812.0",4096,42,110
"10","385187.0","6466812.0","387187.0","6464812.0",4096,42,111
"10","385187.0","6468812.0","387187.0","6466812.0",4096,42,112
"10","385187.0","6470812.0","387187.0","6468812.0",4096,42,113
"10","385187.0","6472812.0","387187.0","6470812.0",4096,42,114
"10","385187.0","6474812.0","387187.0","6472812.0",4096,42,115
"10","385187.0","6476812.0","387187.0","6474812.0",4096,42,116
"10","385187.0","6478812.0","387187.0","6476812.0",4096,42,117
"10","385187.0","6480812.0","387187.0","6478812.0",4096,42,118
"10","385187.0","6482812.0","387187.0","6480812.0",4096,42,119
"10","385187.0","6484812.0","387187.0","6482812.0",4096,42,120
"10","385187.0","6534812.0","387187.0","6532812.0",4096,42,145
"10","387187.0","6422812.0","389187.0","6420812.0",4096,43,89
"10","387187.0","6424812.0","389187.0","6422812.0",4096,43,90
"10","387187.0","6426812.0","389187.0","6424812.0",4096,43,91
"10","387187.0","6428812.0","389187.0","6426812.0",4096,43,92
"10","387187.0","6430812.0","389187.0","6428812.0",4096,43,93
"10","387187.0","6432812.0","389187.0","6430812.0",4096,43,94
"10","387187.0","6434812.0","389187.0","6432812.0",4096,43,95
"10","387187.0","6436812.0","389187.0","6434812.0",4096,43,96
"10","387187.0","6438812.0","389187.0","6436812.0",4096,43,97
"10","387187.0","6440812.0","389187.0","6438812.0",4096,43,98
"10","387187.0","6442812.0","389187.0","6440812.0",4096,43,99
"10","387187.0","6448812.0","389187.0","6446812.0",4096,43,102
"10","387187.0","6450812.0","389187.0","6448812.0",4096,43,103
"10","387187.0","6452812.0","389187.0","6450812.0",4096,43,104
"10","387187.0","6454812.0","389187.0","6452812.0",4096,43,105
"10","387187.0","6456812.0","389187.0","6454812.0",4096,43,106
"10","387187.0","6458812.0","389187.0","6456812.0",4096,43,107
"10","387187.0","6460812.0","389187.0","6458812.0",4096,43,108
"10","387187.0","6462812.0","389187.0","6460812.0",4096,43,109
"10","387187.0","6464812.0","389187.0","6462812.0",4096,43,110
"10","387187.0","6466812.0","389187.0","6464812.0",4096,43,111
"10","387187.0","6468812.0","389187.0","6466812.0",4096,43,112
"10","387187.0","6470812.0","389187.0","6468812.0",4096,43,113
"10","387187.0","6472812.0","389187.0","6470812.0",4096,43,114
"10","387187.0","6474812.0","389187.0","6472812.0",4096,43,115
"10","387187.0","6476812.0","389187.0","6474812.0",4096,43,116
"10","387187.0","6478812.0","389187.0","6476812.0",4096,43,117
"10","387187.0","6532812.0","389187.0","6530812.0",4096,43,144
"10","387187.0","6534812.0","389187.0","6532812.0",4096,43,145
"10","387187.0","6536812.0","389187.0","6534812.0",4096,43,146
"10","389187.0","6426812.0","391187.0","6424812.0",4096,44,91
"10","389187.0","6428812.0","391187.0","6426812.0",4096,44,92
"10","389187.0","6430812.0","391187.0","6428812.0",4096,44,93
"10","389187.0","6432812.0","391187.0","6430812.0",4096,44,94
"10","389187.0","6434812.0","391187.0","6432812.0",4096,44,95
"10","389187.0","6436812.0","391187.0","6434812.0",4096,44,96
"10","389187.0","6438812.0","391187.0","6436812.0",4096,44,97
"10","389187.0","6440812.0","391187.0","6438812.0",4096,44,98
"10","389187.0","6446812.0","391187.0","6444812.0",4096,44,101
"10","389187.0","6448812.0","391187.0","6446812.0",4096,44,102
"10","389187.0","6450812.0","391187.0","6448812.0",4096,44,103
"10","389187.0","6452812.0","391187.0","6450812.0",4096,44,104
"10","389187.0","6454812.0","391187.0","6452812.0",4096,44,105
"10","389187.0","6456812.0","391187.0","6454812.0",4096,44,106
"10","389187.0","6458812.0","391187.0","6456812.0",4096,44,107
"10","389187.0","6460812.0","391187.0","6458812.0",4096,44,108
"10","389187.0","6462812.0","391187.0","6460812.0",4096,44,109
"10","389187.0","6464812.0","391187.0","6462812.0",4096,44,110
"10","389187.0","6466812.0","391187.0","6464812.0",4096,44,111
"10","389187.0","6468812.0","391187.0","6466812.0",4096,44,112
"10","389187.0","6470812.0","391187.0","6468812.0",4096,44,113
"10","389187.0","6472812.0","391187.0","6470812.0",4096,44,114
"10","389187.0","6474812.0","391187.0","6472812.0",4096,44,115
"10","389187.0","6476812.0","391187.0","6474812.0",4096,44,116
"10","389187.0","6478812.0","391187.0","6476812.0",4096,44,117
"10","389187.0","6480812.0","391187.0","6478812.0",4096,44,118
"10","389187.0","6482812.0","391187.0","6480812.0",4096,44,119
"10","389187.0","6484812.0","391187.0","6482812.0",4096,44,120
"10","389187.0","6486812.0","391187.0","6484812.0",4096,44,121
