"dir","minx","maxy","maxx","miny","width","x","y"
"09","365187.0","6466812.0","369187.0","6462812.0",4096,16,55
"09","365187.0","6470812.0","369187.0","6466812.0",4096,16,56
"09","369187.0","6462812.0","373187.0","6458812.0",4096,17,54
"09","369187.0","6466812.0","373187.0","6462812.0",4096,17,55
"09","369187.0","6470812.0","373187.0","6466812.0",4096,17,56
"09","369187.0","6474812.0","373187.0","6470812.0",4096,17,57
"09","369187.0","6478812.0","373187.0","6474812.0",4096,17,58
"09","373187.0","6458812.0","377187.0","6454812.0",4096,18,53
"09","373187.0","6462812.0","377187.0","6458812.0",4096,18,54
"09","373187.0","6466812.0","377187.0","6462812.0",4096,18,55
"09","373187.0","6470812.0","377187.0","6466812.0",4096,18,56
"09","373187.0","6474812.0","377187.0","6470812.0",4096,18,57
"09","373187.0","6478812.0","377187.0","6474812.0",4096,18,58
"09","373187.0","6482812.0","377187.0","6478812.0",4096,18,59
"09","373187.0","6486812.0","377187.0","6482812.0",4096,18,60
"09","377187.0","6426812.0","381187.0","6422812.0",4096,19,45
"09","377187.0","6430812.0","381187.0","6426812.0",4096,19,46
"09","377187.0","6458812.0","381187.0","6454812.0",4096,19,53
"09","377187.0","6462812.0","381187.0","6458812.0",4096,19,54
"09","377187.0","6466812.0","381187.0","6462812.0",4096,19,55
"09","377187.0","6470812.0","381187.0","6466812.0",4096,19,56
"09","377187.0","6474812.0","381187.0","6470812.0",4096,19,57
"09","377187.0","6478812.0","381187.0","6474812.0",4096,19,58
"09","377187.0","6482812.0","381187.0","6478812.0",4096,19,59
"09","377187.0","6486812.0","381187.0","6482812.0",4096,19,60
"09","377187.0","6490812.0","381187.0","6486812.0",4096,19,61
"09","381187.0","6418812.0","385187.0","6414812.0",4096,20,43
"09","381187.0","6422812.0","385187.0","6418812.0",4096,20,44
"09","381187.0","6426812.0","385187.0","6422812.0",4096,20,45
"09","381187.0","6430812.0","385187.0","6426812.0",4096,20,46
"09","381187.0","6434812.0","385187.0","6430812.0",4096,20,47
"09","381187.0","6454812.0","385187.0","6450812.0",4096,20,52
"09","381187.0","6458812.0","385187.0","6454812.0",4096,20,53
"09","381187.0","6462812.0","385187.0","6458812.0",4096,20,54
"09","381187.0","6466812.0","385187.0","6462812.0",4096,20,55
"09","381187.0","6470812.0","385187.0","6466812.0",4096,20,56
"09","381187.0","6474812.0","385187.0","6470812.0",4096,20,57
"09","381187.0","6478812.0","385187.0","6474812.0",4096,20,58
"09","381187.0","6482812.0","385187.0","6478812.0",4096,20,59
"09","381187.0","6486812.0","385187.0","6482812.0",4096,20,60
"09","381187.0","6490812.0","385187.0","6486812.0",4096,20,61
"09","385187.0","6422812.0","389187.0","6418812.0",4096,21,44
"09","385187.0","6426812.0","389187.0","6422812.0",4096,21,45
"09","385187.0","6430812.0","389187.0","6426812.0",4096,21,46
"09","385187.0","6434812.0","389187.0","6430812.0",4096,21,47
"09","385187.0","6438812.0","389187.0","6434812.0",4096,21,48
"09","385187.0","6442812.0","389187.0","6438812.0",4096,21,49
"09","385187.0","6450812.0","389187.0","6446812.0",4096,21,51
"09","385187.0","6454812.0","389187.0","6450812.0",4096,21,52
"09","385187.0","6458812.0","389187.0","6454812.0",4096,21,53
"09","385187.0","6462812.0","389187.0","6458812.0",4096,21,54
"09","385187.0","6466812.0","389187.0","6462812.0",4096,21,55
"09","385187.0","6470812.0","389187.0","6466812.0",4096,21,56
"09","385187.0","6474812.0","389187.0","6470812.0",4096,21,57
"09","385187.0","6478812.0","389187.0","6474812.0",4096,21,58
"09","385187.0","6482812.0","389187.0","6478812.0",4096,21,59
"09","385187.0","6486812.0","389187.0","6482812.0",4096,21,60
"09","385187.0","6534812.0","389187.0","6530812.0",4096,21,72
"09","385187.0","6538812.0","389187.0","6534812.0",4096,21,73
"09","389187.0","6426812.0","393187.0","6422812.0",4096,22,45
"09","389187.0","6430812.0","393187.0","6426812.0",4096,22,46
"09","389187.0","6434812.0","393187.0","6430812.0",4096,22,47
"09","389187.0","6438812.0","393187.0","6434812.0",4096,22,48
"09","389187.0","6442812.0","393187.0","6438812.0",4096,22,49
"09","389187.0","6446812.0","393187.0","6442812.0",4096,22,50
"09","389187.0","6450812.0","393187.0","6446812.0",4096,22,51
"09","389187.0","6454812.0","393187.0","6450812.0",4096,22,52
"09","389187.0","6458812.0","393187.0","6454812.0",4096,22,53
"09","389187.0","6462812.0","393187.0","6458812.0",4096,22,54
"09","389187.0","6466812.0","393187.0","6462812.0",4096,22,55
"09","389187.0","6470812.0","393187.0","6466812.0",4096,22,56
"09","389187.0","6474812.0","393187.0","6470812.0",4096,22,57
"09","389187.0","6478812.0","393187.0","6474812.0",4096,22,58
"09","389187.0","6482812.0","393187.0","6478812.0",4096,22,59
"09","389187.0","6486812.0","393187.0","6482812.0",4096,22,60
"09","389187.0","6530812.0","393187.0","6526812.0",4096,22,71
"09","389187.0","6534812.0","393187.0","6530812.0",4096,22,72
"09","389187.0","6538812.0","393187.0","6534812.0",4096,22,73
"09","393187.0","6430812.0","397187.0","6426812.0",4096,23,46
"09","393187.0","6434812.0","397187.0","6430812.0",4096,23,47
