"dir","minx","maxy","maxx","miny","width","x","y"
"04","301187.0","6498812.0","429187.0","6370812.0",4096,0,1
"04","301187.0","6626812.0","429187.0","6498812.0",4096,0,2
"04","429187.0","6498812.0","557187.0","6370812.0",4096,1,1
"04","429187.0","6626812.0","557187.0","6498812.0",4096,1,2
"04","557187.0","6498812.0","685187.0","6370812.0",4096,2,1
"04","557187.0","6626812.0","685187.0","6498812.0",4096,2,2
"04","557187.0","6754812.0","685187.0","6626812.0",4096,2,3
"04","685187.0","6498812.0","813187.0","6370812.0",4096,3,1
"04","685187.0","6626812.0","813187.0","6498812.0",4096,3,2
