"dir","minx","maxy","maxx","miny","width","x","y"
"06","365187.0","6434812.0","397187.0","6402812.0",4096,2,5
"06","365187.0","6466812.0","397187.0","6434812.0",4096,2,6
"06","365187.0","6498812.0","397187.0","6466812.0",4096,2,7
"06","365187.0","6530812.0","397187.0","6498812.0",4096,2,8
"06","365187.0","6562812.0","397187.0","6530812.0",4096,2,9
"06","397187.0","6466812.0","429187.0","6434812.0",4096,3,6
"06","397187.0","6498812.0","429187.0","6466812.0",4096,3,7
"06","397187.0","6530812.0","429187.0","6498812.0",4096,3,8
"06","397187.0","6562812.0","429187.0","6530812.0",4096,3,9
"06","429187.0","6434812.0","461187.0","6402812.0",4096,4,5
"06","429187.0","6466812.0","461187.0","6434812.0",4096,4,6
"06","429187.0","6498812.0","461187.0","6466812.0",4096,4,7
"06","429187.0","6530812.0","461187.0","6498812.0",4096,4,8
"06","429187.0","6562812.0","461187.0","6530812.0",4096,4,9
"06","461187.0","6466812.0","493187.0","6434812.0",4096,5,6
"06","461187.0","6498812.0","493187.0","6466812.0",4096,5,7
"06","461187.0","6530812.0","493187.0","6498812.0",4096,5,8
"06","461187.0","6562812.0","493187.0","6530812.0",4096,5,9
"06","461187.0","6594812.0","493187.0","6562812.0",4096,5,10
"06","493187.0","6434812.0","525187.0","6402812.0",4096,6,5
"06","493187.0","6466812.0","525187.0","6434812.0",4096,6,6
"06","493187.0","6498812.0","525187.0","6466812.0",4096,6,7
"06","493187.0","6530812.0","525187.0","6498812.0",4096,6,8
"06","493187.0","6562812.0","525187.0","6530812.0",4096,6,9
"06","493187.0","6594812.0","525187.0","6562812.0",4096,6,10
"06","525187.0","6434812.0","557187.0","6402812.0",4096,7,5
"06","525187.0","6466812.0","557187.0","6434812.0",4096,7,6
"06","525187.0","6498812.0","557187.0","6466812.0",4096,7,7
"06","525187.0","6530812.0","557187.0","6498812.0",4096,7,8
"06","525187.0","6562812.0","557187.0","6530812.0",4096,7,9
"06","525187.0","6594812.0","557187.0","6562812.0",4096,7,10
"06","525187.0","6626812.0","557187.0","6594812.0",4096,7,11
"06","557187.0","6434812.0","589187.0","6402812.0",4096,8,5
"06","557187.0","6466812.0","589187.0","6434812.0",4096,8,6
"06","557187.0","6498812.0","589187.0","6466812.0",4096,8,7
"06","557187.0","6530812.0","589187.0","6498812.0",4096,8,8
"06","557187.0","6562812.0","589187.0","6530812.0",4096,8,9
"06","557187.0","6594812.0","589187.0","6562812.0",4096,8,10
"06","557187.0","6626812.0","589187.0","6594812.0",4096,8,11
"06","589187.0","6434812.0","621187.0","6402812.0",4096,9,5
"06","589187.0","6466812.0","621187.0","6434812.0",4096,9,6
"06","589187.0","6498812.0","621187.0","6466812.0",4096,9,7
"06","589187.0","6530812.0","621187.0","6498812.0",4096,9,8
"06","589187.0","6562812.0","621187.0","6530812.0",4096,9,9
"06","589187.0","6594812.0","621187.0","6562812.0",4096,9,10
"06","589187.0","6626812.0","621187.0","6594812.0",4096,9,11
"06","621187.0","6402812.0","653187.0","6370812.0",4096,10,4
"06","621187.0","6434812.0","653187.0","6402812.0",4096,10,5
"06","621187.0","6466812.0","653187.0","6434812.0",4096,10,6
"06","621187.0","6498812.0","653187.0","6466812.0",4096,10,7
"06","621187.0","6530812.0","653187.0","6498812.0",4096,10,8
"06","621187.0","6562812.0","653187.0","6530812.0",4096,10,9
"06","621187.0","6594812.0","653187.0","6562812.0",4096,10,10
"06","621187.0","6626812.0","653187.0","6594812.0",4096,10,11
"06","621187.0","6658812.0","653187.0","6626812.0",4096,10,12
"06","653187.0","6402812.0","685187.0","6370812.0",4096,11,4
"06","653187.0","6434812.0","685187.0","6402812.0",4096,11,5
"06","653187.0","6466812.0","685187.0","6434812.0",4096,11,6
"06","653187.0","6498812.0","685187.0","6466812.0",4096,11,7
"06","653187.0","6530812.0","685187.0","6498812.0",4096,11,8
"06","653187.0","6562812.0","685187.0","6530812.0",4096,11,9
"06","653187.0","6594812.0","685187.0","6562812.0",4096,11,10
"06","653187.0","6626812.0","685187.0","6594812.0",4096,11,11
"06","685187.0","6402812.0","717187.0","6370812.0",4096,12,4
"06","685187.0","6434812.0","717187.0","6402812.0",4096,12,5
"06","685187.0","6466812.0","717187.0","6434812.0",4096,12,6
"06","685187.0","6498812.0","717187.0","6466812.0",4096,12,7
"06","685187.0","6530812.0","717187.0","6498812.0",4096,12,8
"06","685187.0","6562812.0","717187.0","6530812.0",4096,12,9
"06","685187.0","6594812.0","717187.0","6562812.0",4096,12,10
"06","717187.0","6434812.0","749187.0","6402812.0",4096,13,5
"06","717187.0","6466812.0","749187.0","6434812.0",4096,13,6
"06","717187.0","6562812.0","749187.0","6530812.0",4096,13,9
"06","717187.0","6594812.0","749187.0","6562812.0",4096,13,10
"06","717187.0","6626812.0","749187.0","6594812.0",4096,13,11
